0 -1.45393663e+01 -1.87502543e+00 -1.87501701e+00 -1.87501701e+00 3.20469223e+00 1.23718928e+01 1.23718928e+01 1.23719064e+01 1.31616047e+01 1.31616048e+01 1.73209374e+01 1.73209374e+01 1.73209783e+01 2.74541019e+01 2.74541370e+01 2.74541370e+01 3.27786391e+01 4.62720811e+01 000-100
1 -1.45392661e+01 -1.87576953e+00 -1.87517572e+00 -1.87517014e+00 3.20587904e+00 1.23691148e+01 1.23691239e+01 1.23715725e+01 1.31587266e+01 1.31619082e+01 1.73238991e+01 1.73249902e+01 1.73250178e+01 2.74513291e+01 2.74548031e+01 2.74548264e+01 3.27817133e+01 4.62738392e+01 
2 -1.45389655e+01 -1.87801567e+00 -1.87563497e+00 -1.87562937e+00 3.20943631e+00 1.23608353e+01 1.23608444e+01 1.23705982e+01 1.31501168e+01 1.31628184e+01 1.73327214e+01 1.73370793e+01 1.73371068e+01 2.74429526e+01 2.74568754e+01 2.74568987e+01 3.27909270e+01 4.62790979e+01 
3 -1.45384648e+01 -1.88174966e+00 -1.87639989e+00 -1.87639429e+00 3.21535452e+00 1.23472151e+01 1.23472241e+01 1.23689756e+01 1.31358486e+01 1.31643345e+01 1.73473485e+01 1.73570005e+01 1.73570280e+01 2.74290312e+01 2.74603425e+01 2.74603658e+01 3.28062533e+01 4.62878105e+01 
4 -1.45377646e+01 -1.88695715e+00 -1.87746980e+00 -1.87746419e+00 3.22361795e+00 1.23285127e+01 1.23285216e+01 1.23667063e+01 1.31160406e+01 1.31664553e+01 1.73676695e+01 1.73844230e+01 1.73844507e+01 2.74096227e+01 2.74652243e+01 2.74652475e+01 3.28276487e+01 4.62998992e+01 
5 -1.45368653e+01 -1.89361836e+00 -1.87884370e+00 -1.87883810e+00 3.23420482e+00 1.23050719e+01 1.23050808e+01 1.23637927e+01 1.30908526e+01 1.31691791e+01 1.73935354e+01 1.74189040e+01 1.74189318e+01 2.73848065e+01 2.74715477e+01 2.74715709e+01 3.28550538e+01 4.63152558e+01 
6 -1.45357679e+01 -1.90170824e+00 -1.88052033e+00 -1.88051473e+00 3.24708752e+00 1.22773058e+01 1.22773145e+01 1.23602380e+01 1.30604802e+01 1.31725035e+01 1.74247649e+01 1.74599051e+01 1.74599333e+01 2.73546810e+01 2.74793470e+01 2.74793700e+01 3.28883956e+01 4.63337416e+01 
7 -1.45344734e+01 -1.91119679e+00 -1.88249811e+00 -1.88249252e+00 3.26223287e+00 1.22456791e+01 1.22456877e+01 1.23560458e+01 1.30251477e+01 1.31764258e+01 1.74611512e+01 1.75068128e+01 1.75068412e+01 2.73193619e+01 2.74886624e+01 2.74886853e+01 3.29275894e+01 4.63551887e+01 
8 -1.45329829e+01 -1.92204940e+00 -1.88477518e+00 -1.88476960e+00 3.27960249e+00 1.22106909e+01 1.22106994e+01 1.23512206e+01 1.29851021e+01 1.31809427e+01 1.75024690e+01 1.75589573e+01 1.75589859e+01 2.72789796e+01 2.74995398e+01 2.74995625e+01 3.29725410e+01 4.63793999e+01 
9 -1.45312979e+01 -1.93422720e+00 -1.88734938e+00 -1.88734380e+00 3.29915310e+00 1.21728574e+01 1.21728657e+01 1.23457674e+01 1.29406062e+01 1.31860505e+01 1.75484807e+01 1.76156324e+01 1.76156614e+01 2.72336766e+01 2.75120297e+01 2.75120523e+01 3.30231492e+01 4.64061506e+01 
10 -1.45294197e+01 -1.94768748e+00 -1.89021821e+00 -1.89021264e+00 3.32083695e+00 1.21326975e+01 1.21327057e+01 1.23396921e+01 1.28919326e+01 1.31917449e+01 1.75989436e+01 1.76761130e+01 1.76761423e+01 2.71836053e+01 2.75261866e+01 2.75262089e+01 3.30793084e+01 4.64351891e+01 
11 -1.45273503e+01 -1.96238415e+00 -1.89337889e+00 -1.89337332e+00 3.34460224e+00 1.20907205e+01 1.20907285e+01 1.23330009e+01 1.28393586e+01 1.31980212e+01 1.76536150e+01 1.77396699e+01 1.77396996e+01 2.71289255e+01 2.75420672e+01 2.75420894e+01 3.31409104e+01 4.64662382e+01 
12 -1.45250914e+01 -1.97826815e+00 -1.89682829e+00 -1.89682273e+00 3.37039349e+00 1.20474158e+01 1.20474236e+01 1.23257009e+01 1.27831612e+01 1.32048741e+01 1.77122573e+01 1.78055833e+01 1.78056134e+01 2.70698020e+01 2.75597302e+01 2.75597521e+01 3.32078476e+01 4.64989973e+01 
13 -1.45226451e+01 -1.99528787e+00 -1.90056298e+00 -1.90055743e+00 3.39815198e+00 1.20032460e+01 1.20032537e+01 1.23177998e+01 1.27236140e+01 1.32122978e+01 1.77746424e+01 1.78731528e+01 1.78731833e+01 2.70064030e+01 2.75792342e+01 2.75792559e+01 3.32800140e+01 4.65331433e+01 
14 -1.45200137e+01 -2.01338967e+00 -1.90457918e+00 -1.90457364e+00 3.42781618e+00 1.19586417e+01 1.19586493e+01 1.23093058e+01 1.26609838e+01 1.32202862e+01 1.78405542e+01 1.79417060e+01 1.79417368e+01 2.69388981e+01 2.76006372e+01 2.76006585e+01 3.33573084e+01 4.65683333e+01 
15 -1.45171995e+01 -2.03251823e+00 -1.90887281e+00 -1.90886728e+00 3.45932215e+00 1.19139986e+01 1.19140060e+01 1.23002279e+01 1.25955292e+01 1.32288325e+01 1.79097920e+01 1.80106042e+01 1.80106354e+01 2.68674572e+01 2.76239947e+01 2.76240157e+01 3.34396350e+01 4.66042071e+01 
