0 -3.08057055e+00 1.66348644e+01 1.66349674e+01 1.66349674e+01 G-H
1 -3.07981443e+00 1.66288190e+01 1.66288881e+01 1.66339839e+01 
2 -3.07754511e+00 1.66105667e+01 1.66106354e+01 1.66311204e+01 
3 -3.07375978e+00 1.65800986e+01 1.65801671e+01 1.66263014e+01 
4 -3.06845389e+00 1.65373496e+01 1.65374179e+01 1.66194589e+01 
5 -3.06162127e+00 1.64822399e+01 1.64823080e+01 1.66105029e+01 
6 -3.05325441e+00 1.64146853e+01 1.64147532e+01 1.65993256e+01 
7 -3.04334465e+00 1.63346100e+01 1.63346776e+01 1.65858069e+01 
8 -3.03188251e+00 1.62419610e+01 1.62420284e+01 1.65698202e+01 
9 -3.01885795e+00 1.61367237e+01 1.61367908e+01 1.65512378e+01 
10 -3.00426063e+00 1.60189361e+01 1.60190031e+01 1.65299370e+01 
11 -2.98808018e+00 1.58887045e+01 1.58887713e+01 1.65058051e+01 
12 -2.97030642e+00 1.57462157e+01 1.57462824e+01 1.64787438e+01 
13 -2.95092955e+00 1.55917477e+01 1.55918144e+01 1.64486734e+01 
14 -2.92994030e+00 1.54256778e+01 1.54257445e+01 1.64155354e+01 
15 -2.90733006e+00 1.52484863e+01 1.52485532e+01 1.63792943e+01 
16 -2.88309092e+00 1.50607574e+01 1.50608245e+01 1.63399395e+01 
17 -2.85721575e+00 1.48631757e+01 1.48632431e+01 1.62974851e+01 
18 -2.82969817e+00 1.46565187e+01 1.46565866e+01 1.62519700e+01 
19 -2.80053262e+00 1.44416470e+01 1.44417155e+01 1.62034568e+01 
20 -2.76971423e+00 1.42194902e+01 1.42195594e+01 1.61520308e+01 
21 -2.73723885e+00 1.39910318e+01 1.39911019e+01 1.60977984e+01 
22 -2.70310296e+00 1.37572917e+01 1.37573628e+01 1.60408851e+01 
23 -2.66730363e+00 1.35193088e+01 1.35193811e+01 1.59814337e+01 
24 -2.62983844e+00 1.32781233e+01 1.32781968e+01 1.59196020e+01 
25 -2.59070541e+00 1.30347595e+01 1.30348344e+01 1.58555610e+01 
26 -2.54990297e+00 1.27902111e+01 1.27902875e+01 1.57894927e+01 
27 -2.50742984e+00 1.25454270e+01 1.25455050e+01 1.57215886e+01 
28 -2.46328504e+00 1.23013005e+01 1.23013802e+01 1.56520472e+01 
29 -2.41746777e+00 1.20586599e+01 1.20587414e+01 1.55810731e+01 
30 -2.36997741e+00 1.18182624e+01 1.18183457e+01 1.55088750e+01 
31 -2.32081346e+00 1.15807896e+01 1.15808749e+01 1.54356647e+01 
32 -2.26997548e+00 1.13468455e+01 1.13469328e+01 1.53616557e+01 
33 -2.21746309e+00 1.11169565e+01 1.11170458e+01 1.52870620e+01 
34 -2.16327589e+00 1.08915729e+01 1.08916643e+01 1.52120978e+01 
35 -2.10741348e+00 1.06710718e+01 1.06711652e+01 1.51369761e+01 
36 -2.04987540e+00 1.04557608e+01 1.04558564e+01 1.50619084e+01 
37 -1.99066113e+00 1.02458834e+01 1.02459811e+01 1.49871042e+01 
38 -1.92977005e+00 1.00416235e+01 1.00417234e+01 1.49127705e+01 
39 -1.86720140e+00 9.84311152e+00 9.84321346e+00 1.48391114e+01 
40 -1.80295432e+00 9.65042966e+00 9.65053370e+00 1.47663282e+01 
41 -1.73702779e+00 9.46361776e+00 9.46372389e+00 1.46946187e+01 
42 -1.66942058e+00 9.28267859e+00 9.28278679e+00 1.46241778e+01 
43 -1.60013127e+00 9.10758301e+00 9.10769325e+00 1.45551968e+01 
44 -1.52915826e+00 8.93827488e+00 8.93838714e+00 1.44878639e+01 
45 -1.45649960e+00 8.77467521e+00 8.77478944e+00 1.44223636e+01 
46 -1.38215310e+00 8.61668656e+00 8.61680273e+00 1.43588776e+01 
47 -1.30611627e+00 8.46419651e+00 8.46431459e+00 1.42975841e+01 
48 -1.22838611e+00 8.31708069e+00 8.31720062e+00 1.42386583e+01 
49 -1.14895928e+00 8.17520605e+00 8.17532780e+00 1.41822721e+01 
50 -1.06783181e+00 8.03843290e+00 8.03855643e+00 1.41285944e+01 
51 -9.84999222e-01 7.90661750e+00 7.90674274e+00 1.40777910e+01 
52 -9.00456154e-01 7.77961344e+00 7.77974036e+00 1.40300243e+01 
53 -8.14196500e-01 7.65727363e+00 7.65740219e+00 1.39854537e+01 
54 -7.26213124e-01 7.53945141e+00 7.53958155e+00 1.39442345e+01 
55 -6.36497565e-01 7.42600150e+00 7.42613319e+00 1.39065183e+01 
56 -5.45040078e-01 7.31678125e+00 7.31691443e+00 1.38724523e+01 
57 -4.51829064e-01 7.21165095e+00 7.21178557e+00 1.38421784e+01 
58 -3.56851040e-01 7.11047474e+00 7.11061076e+00 1.38158329e+01 
59 -2.60090162e-01 7.01312089e+00 7.01325826e+00 1.37935448e+01 
60 -1.61527691e-01 6.91946204e+00 6.91960071e+00 1.37754353e+01 
61 -6.11418094e-02 6.82937567e+00 6.82951560e+00 1.37616155e+01 
62 4.10932555e-02 6.74274397e+00 6.74288512e+00 1.37521850e+01 
63 1.45207537e-01 6.65945421e+00 6.65959653e+00 1.37472297e+01 
64 2.51236134e-01 6.57939860e+00 6.57954205e+00 1.37468189e+01 
65 3.59220096e-01 6.50247423e+00 6.50261877e+00 1.37510025e+01 
66 4.69206918e-01 6.42858321e+00 6.42872880e+00 1.37598076e+01 
67 5.81251777e-01 6.35763238e+00 6.35777897e+00 1.37732341e+01 
68 6.95418110e-01 6.28953335e+00 6.28968091e+00 1.37912507e+01 
69 8.11778678e-01 6.22420238e+00 6.22435086e+00 1.38137898e+01 
