
# Band 0 
0 -5.051642e+00
1 -5.050429e+00
2 -5.046799e+00
3 -5.040776e+00
4 -5.032399e+00
5 -5.021721e+00
6 -5.008804e+00
7 -4.993715e+00
8 -4.976531e+00
9 -4.957329e+00
10 -4.936191e+00
11 -4.913201e+00
12 -4.888446e+00
13 -4.862015e+00
14 -4.834002e+00
15 -4.804502e+00
16 -4.773616e+00
17 -4.741446e+00
18 -4.708100e+00
19 -4.673691e+00
20 -4.638335e+00
21 -4.602154e+00
22 -4.565279e+00
23 -4.527853e+00
24 -4.490036e+00
25 -4.452023e+00
26 -4.414063e+00
27 -4.376511e+00
28 -4.339913e+00
29 -4.305167e+00
30 -4.273736e+00
31 -4.247648e+00
32 -4.228706e+00
33 -4.217342e+00
34 -4.212838e+00
35 -4.214376e+00
36 -4.221506e+00
37 -4.234109e+00
38 -4.252265e+00
39 -4.276161e+00
40 -4.306040e+00
41 -4.342155e+00
42 -4.384760e+00
43 -4.434085e+00
44 -4.490332e+00
45 -4.553667e+00
46 -4.624216e+00
47 -4.702056e+00
48 -4.787215e+00
49 -4.879652e+00
50 -4.979250e+00
51 -5.085794e+00
52 -5.198960e+00
53 -5.318313e+00
54 -5.443304e+00
55 -5.573301e+00
56 -5.707601e+00
57 -5.845473e+00
58 -5.986177e+00
59 -6.128996e+00
60 -6.273246e+00
61 -6.418293e+00
62 -6.563556e+00
63 -6.708508e+00
64 -6.852673e+00
65 -6.995627e+00
66 -7.136990e+00
67 -7.276423e+00
68 -7.413624e+00
69 -7.548321e+00
70 -7.680273e+00
71 -7.809264e+00
72 -7.935098e+00
73 -8.057601e+00
74 -8.176614e+00
75 -8.291996e+00
76 -8.403616e+00
77 -8.511359e+00
78 -8.615118e+00
79 -8.714796e+00
80 -8.810307e+00
81 -8.901571e+00
82 -8.988515e+00
83 -9.071074e+00
84 -9.149189e+00
85 -9.222804e+00
86 -9.291872e+00
87 -9.356348e+00
88 -9.416192e+00
89 -9.471369e+00
90 -9.521846e+00
91 -9.567597e+00
92 -9.608594e+00
93 -9.644818e+00
94 -9.676248e+00
95 -9.702870e+00
96 -9.724669e+00
97 -9.741634e+00
98 -9.753759e+00
99 -9.761036e+00
100 -9.763462e+00

# Band 1 
0 -4.564168e+00
1 -4.563551e+00
2 -4.561703e+00
3 -4.558627e+00
4 -4.554333e+00
5 -4.548830e+00
6 -4.542135e+00
7 -4.534267e+00
8 -4.525250e+00
9 -4.515112e+00
10 -4.503888e+00
11 -4.491618e+00
12 -4.478350e+00
13 -4.464139e+00
14 -4.449046e+00
15 -4.433143e+00
16 -4.416508e+00
17 -4.399231e+00
18 -4.381410e+00
19 -4.363153e+00
20 -4.344577e+00
21 -4.325808e+00
22 -4.306978e+00
23 -4.288221e+00
24 -4.269668e+00
25 -4.251431e+00
26 -4.233577e+00
27 -4.216088e+00
28 -4.198761e+00
29 -4.181058e+00
30 -4.161887e+00
31 -4.139600e+00
32 -4.112789e+00
33 -4.081419e+00
34 -4.046619e+00
35 -4.009616e+00
36 -3.971274e+00
37 -3.932128e+00
38 -3.892508e+00
39 -3.852627e+00
40 -3.812639e+00
41 -3.772667e+00
42 -3.732827e+00
43 -3.693237e+00
44 -3.654030e+00
45 -3.638973e+00
46 -3.652615e+00
47 -3.664363e+00
48 -3.674253e+00
49 -3.682328e+00
50 -3.688634e+00
51 -3.693218e+00
52 -3.696132e+00
53 -3.697429e+00
54 -3.697166e+00
55 -3.695402e+00
56 -3.692200e+00
57 -3.687622e+00
58 -3.681735e+00
59 -3.674608e+00
60 -3.666309e+00
61 -3.656911e+00
62 -3.646485e+00
63 -3.635106e+00
64 -3.622847e+00
65 -3.609784e+00
66 -3.595992e+00
67 -3.581545e+00
68 -3.566520e+00
69 -3.550991e+00
70 -3.535034e+00
71 -3.518721e+00
72 -3.502127e+00
73 -3.485324e+00
74 -3.468385e+00
75 -3.451381e+00
76 -3.434381e+00
77 -3.417454e+00
78 -3.400669e+00
79 -3.384093e+00
80 -3.367790e+00
81 -3.351825e+00
82 -3.336259e+00
83 -3.321154e+00
84 -3.306568e+00
85 -3.292557e+00
86 -3.279177e+00
87 -3.266478e+00
88 -3.254510e+00
89 -3.243320e+00
90 -3.232951e+00
91 -3.223444e+00
92 -3.214837e+00
93 -3.207162e+00
94 -3.200452e+00
95 -3.194734e+00
96 -3.190035e+00
97 -3.186385e+00
98 -3.183835e+00
99 -3.182500e+00
100 -3.182238e+00

# Band 2 
0 -1.741580e+00
1 -1.742503e+00
2 -1.745266e+00
3 -1.749855e+00
4 -1.756247e+00
5 -1.764408e+00
6 -1.774298e+00
7 -1.785866e+00
8 -1.828982e+00
9 -1.891117e+00
10 -1.956013e+00
11 -2.022921e+00
12 -2.091191e+00
13 -2.160271e+00
14 -2.229690e+00
15 -2.299049e+00
16 -2.368011e+00
17 -2.436291e+00
18 -2.503650e+00
19 -2.569883e+00
20 -2.634819e+00
21 -2.698311e+00
